============================== Image color segmentation application =============================
Loading image at "data\test\TheVanOfLove.png".
Reading pixels (262219 values).
=================================================================================================
= = = = = = = = = = = = = = = = = = = = = =  KLUSTERZ = = = = = = = = = = = = = = = = = = = = = =
=================================================================================================
Initial means selection.
Iter# 1 ~ [197.13|169.72|246.24] [169.08|162.77|119.49] [ 95.37|177.25|190.84] [100.36|221.73|155.77] 
Iter# 2 ~ [252.47|252.56|250.85] [ 98.20| 88.08| 87.49] [ 52.14| 80.62|129.23] [158.00|224.00|195.00] 
Iter# 3 ~ [252.48|252.47|250.58] [ 98.20| 88.13| 87.58] [ 41.39| 59.18| 95.50] [181.16|177.27|170.71] 
Iter# 4 ~ [252.48|252.47|250.58] [ 97.91| 88.40| 88.29] [ 38.50| 46.81| 69.56] [179.70|174.32|166.32] 
Iter# 5 ~ [252.48|252.47|250.58] [ 97.16| 88.46| 89.18] [ 39.20| 47.11| 69.13] [179.28|173.81|165.73] 
Iter# 6 ~ [252.48|252.47|250.58] [ 97.15| 88.45| 89.19] [ 39.30| 47.14| 69.09] [179.19|173.68|165.57] 
Iter# 7 ~ [252.48|252.47|250.58] [ 97.15| 88.45| 89.19] [ 39.31| 47.15| 69.09] [179.18|173.67|165.56] 
Iter# 8 ~ [252.48|252.47|250.58] [ 97.15| 88.45| 89.19] [ 39.31| 47.15| 69.09] [179.17|173.66|165.54] 
Iter# 9 ~ [252.48|252.47|250.58] [ 97.15| 88.45| 89.19] [ 39.31| 47.15| 69.09] [179.17|173.66|165.54] 
Iter#10 ~ [252.48|252.47|250.58] [ 97.15| 88.45| 89.19] [ 39.31| 47.15| 69.09] [179.17|173.66|165.54] 
Total iterations performed: 9.
Writing clustered image at "salut.bmp".
Done.
============================== Image color segmentation application =============================
Loading image at "data\test\TheVanOfLove.png".
Reading pixels (262219 values).
=================================================================================================
= = = = = = = = = = = = = = = = = = = = = =  KLUSTERZ = = = = = = = = = = = = = = = = = = = = = =
=================================================================================================
Initial means selection.
Iter# 1 ~ [227.62|101.41|160.34] [ 31.30| 80.87|144.91] [  1.82|184.84|193.01] [163.02|194.99| 30.89] [251.23|248.70| 67.43] [101.91|180.65| 77.60] [210.41|213.58|213.99] [182.80| 66.02|196.71] [237.07|103.51|169.28] [132.63| 95.39| 24.09] 
Iter# 2 ~ [172.19|148.56|143.59] [ 39.76| 47.41| 71.82] [ 57.54|147.63|214.70] [221.78|158.51| 84.63] [254.81|193.13|127.10] [134.71|131.39|112.66] [245.71|245.55|243.60] [125.23|125.09|171.58] [230.48|158.57|168.21] [ 86.94| 62.66| 57.38] 
Iter# 3 ~ [174.92|164.86|158.08] [ 38.77| 44.56| 65.82] [ 74.58|148.21|217.83] [208.66|139.44| 69.62] [254.55|204.12|139.94] [127.48|121.84|108.15] [245.71|245.55|243.60] [102.09|117.80|160.90] [214.09|199.18|179.35] [ 85.95| 64.54| 61.53] 
Iter# 4 ~ [174.91|164.93|158.40] [ 38.91| 44.60| 65.60] [ 78.19|147.94|216.01] [204.91|136.33| 73.05] [254.23|203.86|140.48] [126.31|120.06|107.05] [245.71|245.55|243.60] [ 83.07|107.22|150.10] [219.71|206.00|185.37] [ 85.15| 64.81| 62.60] 
Iter# 5 ~ [175.11|165.21|158.58] [ 38.92| 44.60| 65.58] [ 80.14|147.33|214.32] [202.89|134.70| 77.10] [253.98|203.54|140.62] [126.15|119.63|106.97] [245.71|245.55|243.60] [ 80.79|103.39|142.05] [222.59|208.84|187.89] [ 85.04| 64.82| 62.70] 
Iter# 6 ~ [175.30|165.39|158.65] [ 38.92| 44.60| 65.58] [ 80.71|146.96|213.53] [201.31|133.99| 79.74] [253.89|203.40|140.73] [126.11|119.56|106.95] [245.71|245.55|243.60] [ 80.60|101.51|137.48] [224.01|210.23|189.16] [ 85.03| 64.82| 62.71] 
Iter# 7 ~ [175.39|165.47|158.69] [ 38.92| 44.60| 65.58] [ 80.85|146.82|213.27] [200.02|133.31| 81.53] [253.83|203.36|140.76] [126.11|119.56|106.95] [245.71|245.55|243.60] [ 80.78|100.49|134.80] [224.49|210.71|189.63] [ 85.02| 64.82| 62.71] 
Iter# 8 ~ [175.43|165.51|158.70] [ 38.92| 44.60| 65.58] [ 80.92|146.71|213.10] [199.09|133.19| 82.65] [253.80|203.36|140.77] [126.11|119.56|106.97] [245.71|245.55|243.60] [ 81.10| 99.85|133.03] [224.87|211.06|189.97] [ 85.02| 64.82| 62.71] 
Iter# 9 ~ [175.45|165.54|158.71] [ 38.92| 44.60| 65.58] [ 80.95|146.69|213.06] [198.66|133.19| 83.26] [253.80|203.36|140.77] [126.10|119.56|106.97] [245.71|245.55|243.60] [ 81.33| 99.38|131.72] [224.92|211.11|190.03] [ 85.02| 64.82| 62.71] 
Iter#10 ~ [175.46|165.54|158.72] [ 38.92| 44.60| 65.58] [ 80.99|146.65|212.98] [198.26|133.27| 83.60] [253.80|203.36|140.77] [126.10|119.56|106.98] [245.71|245.55|243.60] [ 81.54| 99.10|130.91] [224.92|211.11|190.03] [ 85.02| 64.82| 62.71] 
Iter#11 ~ [175.46|165.54|158.72] [ 38.92| 44.60| 65.58] [ 81.02|146.63|212.94] [198.03|133.32| 83.83] [253.80|203.36|140.77] [126.10|119.57|106.98] [245.71|245.55|243.60] [ 81.69| 98.89|130.33] [224.92|211.11|190.03] [ 85.02| 64.82| 62.71] 
Iter#12 ~ [175.46|165.54|158.72] [ 38.92| 44.60| 65.58] [ 81.03|146.61|212.90] [197.87|133.40| 83.98] [253.80|203.36|140.77] [126.10|119.57|106.99] [245.71|245.55|243.60] [ 81.84| 98.77|129.95] [224.92|211.11|190.03] [ 85.02| 64.82| 62.71] 
Iter#13 ~ [175.46|165.54|158.72] [ 38.92| 44.60| 65.58] [ 81.05|146.57|212.83] [197.78|133.42| 84.11] [253.80|203.36|140.77] [126.10|119.57|106.99] [245.71|245.55|243.60] [ 81.95| 98.70|129.70] [224.92|211.11|190.03] [ 85.02| 64.82| 62.71] 
Iter#14 ~ [175.46|165.54|158.72] [ 38.92| 44.60| 65.58] [ 81.05|146.57|212.83] [197.73|133.42| 84.15] [253.80|203.36|140.77] [126.10|119.57|106.99] [245.71|245.55|243.60] [ 82.02| 98.67|129.58] [224.92|211.11|190.03] [ 85.02| 64.82| 62.71] 
Iter#15 ~ [175.46|165.54|158.72] [ 38.92| 44.60| 65.58] [ 81.05|146.57|212.83] [197.72|133.44| 84.17] [253.80|203.36|140.77] [126.10|119.57|106.99] [245.71|245.55|243.60] [ 82.06| 98.63|129.50] [224.92|211.11|190.03] [ 85.02| 64.82| 62.71] 
Iter#16 ~ [175.46|165.54|158.72] [ 38.92| 44.60| 65.58] [ 81.05|146.57|212.83] [197.72|133.44| 84.17] [253.80|203.36|140.77] [126.10|119.57|106.99] [245.71|245.55|243.60] [ 82.08| 98.60|129.42] [224.92|211.11|190.03] [ 85.02| 64.82| 62.71] 
Iter#17 ~ [175.46|165.54|158.72] [ 38.92| 44.60| 65.58] [ 81.05|146.57|212.83] [197.72|133.44| 84.17] [253.80|203.36|140.77] [126.10|119.57|106.99] [245.71|245.55|243.60] [ 82.12| 98.59|129.35] [224.92|211.11|190.03] [ 85.02| 64.82| 62.71] 
Iter#18 ~ [175.46|165.54|158.72] [ 38.92| 44.60| 65.58] [ 81.05|146.57|212.83] [197.72|133.44| 84.17] [253.80|203.36|140.77] [126.10|119.57|106.99] [245.71|245.55|243.60] [ 82.15| 98.57|129.29] [224.92|211.11|190.03] [ 85.02| 64.82| 62.71] 
Iter#19 ~ [175.46|165.54|158.72] [ 38.92| 44.60| 65.58] [ 81.05|146.57|212.83] [197.72|133.44| 84.17] [253.80|203.36|140.77] [126.10|119.57|106.99] [245.71|245.55|243.60] [ 82.17| 98.55|129.23] [224.92|211.11|190.03] [ 85.02| 64.82| 62.71] 
